time_s,phase,command_abs_vx_mps,mean_linear_speed_mps,p95_linear_speed_mps,mean_angular_speed_rps,p95_angular_speed_rps,mean_tilt_deg,p95_tilt_deg,mean_height_m,mean_abs_lateral_m,p95_abs_lateral_m,mean_abs_heading_deg,p95_abs_heading_deg,settled_fraction,fall_fraction
0.54,move,0.08,0.15938565135002136,0.27437782287597656,0.7134402990341187,1.7028628587722778,3.756331205368042,5.093479156494141,0.13929483294487,0.021555829793214798,0.028353266417980194,0.7863196134567261,1.5710387229919434,0.0,0.0
0.56,move,0.08,0.1892884075641632,0.3600883185863495,0.9430616497993469,2.2352988719940186,3.861274003982544,5.577049255371094,0.13829243183135986,0.018782716244459152,0.026199890300631523,0.7674157619476318,1.682232141494751,0.0,0.0
0.58,move,0.08,0.20184209942817688,0.338553786277771,0.8390796184539795,1.7466737031936646,3.7333474159240723,6.001594066619873,0.13726085424423218,0.015347078442573547,0.023591501638293266,0.6741753816604614,1.9892377853393555,0.0,0.0
0.6,move,0.08,0.21180593967437744,0.3231387734413147,0.6231127977371216,1.1704883575439453,3.793752670288086,6.377892971038818,0.13628077507019043,0.011733979918062687,0.02073107659816742,0.7665456533432007,2.071434736251831,0.0,0.0
0.62,move,0.08,0.21821478009223938,0.2895188629627228,0.5183470249176025,0.9421952366828918,4.147592067718506,6.714402198791504,0.13535147905349731,0.008395363576710224,0.018175162374973297,0.9407040476799011,2.1740779876708984,0.0,0.0
0.64,move,0.08,0.22257131338119507,0.28483784198760986,0.5133407115936279,0.9171649217605591,4.5765461921691895,6.934006690979004,0.13443025946617126,0.006707895081490278,0.015184875577688217,1.0844542980194092,2.299868583679199,0.0,0.0
0.66,move,0.08,0.21185645461082458,0.25988879799842834,0.6127718687057495,0.9046798348426819,4.928833484649658,7.030737400054932,0.13368022441864014,0.0067063914611935616,0.013048839755356312,1.232452392578125,2.3008005619049072,0.0,0.0
0.68,move,0.08,0.19393835961818695,0.2237531691789627,0.4466804265975952,0.8042691946029663,5.0100908279418945,7.013938903808594,0.1336279958486557,0.007115557789802551,0.014501039870083332,1.404579758644104,2.313481330871582,0.0,0.0
0.7,move,0.08,0.1806952953338623,0.21081209182739258,0.38566815853118896,1.0133029222488403,4.928834438323975,6.905206680297852,0.13381898403167725,0.00853729248046875,0.017629310488700867,1.466467022895813,2.3065595626831055,0.0,0.0
0.72,move,0.08,0.17068129777908325,0.20551158487796783,0.380221962928772,0.9034465551376343,4.809441566467285,6.677087783813477,0.13406553864479065,0.010869483463466167,0.020491119474172592,1.4075257778167725,2.2623634338378906,0.0,0.0
0.74,move,0.08,0.1513863056898117,0.18907886743545532,0.39429613947868347,0.7120767831802368,4.6593852043151855,6.440160751342773,0.13451427221298218,0.013523663394153118,0.023057859390974045,1.2936452627182007,2.183443307876587,0.0,0.0
0.76,move,0.08,0.1153062954545021,0.150389164686203,0.48257240653038025,0.7134242057800293,4.538030624389648,6.141462326049805,0.13521939516067505,0.01584908738732338,0.025103501975536346,1.1344704627990723,2.0419583320617676,0.0,0.0
0.78,move,0.08,0.07141593098640442,0.11433334648609161,0.5723361968994141,0.8138985633850098,4.467989921569824,5.802092552185059,0.13599219918251038,0.017341095954179764,0.027023302391171455,0.9272936582565308,1.978553295135498,0.0,0.0
0.8,move,0.08,0.058464646339416504,0.08363094180822372,0.6153649091720581,0.8782092332839966,4.494272232055664,5.543581962585449,0.1367611289024353,0.017880020663142204,0.028190666809678078,0.6961970329284668,1.6935133934020996,0.0,0.0
0.82,move,0.08,0.0728212520480156,0.11725401133298874,0.6122319102287292,0.8650223612785339,4.6175737380981445,5.414511203765869,0.13745373487472534,0.01746947132050991,0.028840431943535805,0.4993789792060852,1.2983285188674927,0.0,0.0
0.84,move,0.08,0.10512136667966843,0.17522433400154114,0.5657886266708374,0.8113388419151306,4.812033653259277,5.856771469116211,0.13801167905330658,0.016102608293294907,0.028314759954810143,0.4262632131576538,1.0536009073257446,0.0,0.0
0.86,move,0.08,0.13828164339065552,0.2104061245918274,0.47459158301353455,0.7214466333389282,4.973438262939453,6.163080215454102,0.1385597139596939,0.013914425857365131,0.026677144691348076,0.4792501628398895,1.2129398584365845,0.0,0.0
0.88,move,0.08,0.1826525628566742,0.25220102071762085,0.5164970755577087,0.9848839044570923,4.952500343322754,6.1423563957214355,0.13912752270698547,0.01140500232577324,0.024371279403567314,0.5597175359725952,1.226101040840149,0.0,0.0
0.9,move,0.08,0.2341075837612152,0.3249295949935913,0.7020127773284912,1.327609896659851,4.766889572143555,5.901377201080322,0.13979220390319824,0.009016668424010277,0.0206631850451231,0.49575090408325195,1.1002144813537598,0.0,0.0
0.92,move,0.08,0.2678821384906769,0.39740440249443054,0.8435894846916199,1.5670078992843628,4.577366352081299,5.278392314910889,0.1404755413532257,0.00669875368475914,0.015210505574941635,0.44462811946868896,1.093538761138916,0.0,0.0
0.94,move,0.08,0.28226569294929504,0.45396968722343445,0.9292783737182617,1.5515520572662354,4.478774070739746,5.167508125305176,0.1409057229757309,0.005250103306025267,0.01023912150412798,0.4530665874481201,1.2121028900146484,0.0,0.0
0.96,move,0.08,0.25013217329978943,0.4489069879055023,0.9966518878936768,1.6946693658828735,4.313855171203613,4.9816484451293945,0.1409619301557541,0.008140334859490395,0.013014332391321659,0.6156401038169861,1.3745061159133911,0.0,0.0
0.98,move,0.08,0.17816227674484253,0.35409048199653625,0.8844243288040161,1.652125597000122,3.9577407836914062,4.941237449645996,0.14079803228378296,0.012011716142296791,0.017918625846505165,0.8484612107276917,1.6194945573806763,0.0,0.0
1.0,move,0.08,0.12854084372520447,0.23466727137565613,0.6838364601135254,1.215366244316101,3.7557766437530518,4.911820411682129,0.14087454974651337,0.014456812292337418,0.021129190921783447,0.8381906747817993,1.688372015953064,0.0,0.0
1.02,move,0.08,0.1036505401134491,0.16651403903961182,0.46538370847702026,0.9126237630844116,3.788546085357666,4.887972831726074,0.14094728231430054,0.01563134789466858,0.023202160373330116,0.7175740003585815,1.5365245342254639,0.0,0.0
1.04,move,0.08,0.10378558188676834,0.18918807804584503,0.4185220003128052,0.8604068160057068,3.893608570098877,4.877806663513184,0.1407141387462616,0.01587555557489395,0.024016903713345528,0.6317947506904602,1.4057852029800415,0.0,0.0
