time_s,phase,command_abs_vx_mps,mean_linear_speed_mps,p95_linear_speed_mps,mean_angular_speed_rps,p95_angular_speed_rps,mean_tilt_deg,p95_tilt_deg,mean_height_m,mean_abs_lateral_m,p95_abs_lateral_m,mean_abs_heading_deg,p95_abs_heading_deg,settled_fraction,fall_fraction
0.94,move,0.1,0.31839776039123535,0.42554599046707153,1.537679672241211,2.0668299198150635,5.7366228103637695,8.051881790161133,0.1603323221206665,0.016638249158859253,0.02786707691848278,0.5745729207992554,1.6998186111450195,0.0,0.0
0.96,move,0.1,0.34776780009269714,0.4620938301086426,1.7265174388885498,2.146472692489624,6.033469200134277,8.642729759216309,0.15827582776546478,0.019136153161525726,0.03588127717375755,0.7584941983222961,1.8959397077560425,0.0,0.0
0.98,move,0.1,0.3126673698425293,0.4430961608886719,1.4745309352874756,2.370081663131714,6.770175933837891,8.611102104187012,0.15682756900787354,0.02198818325996399,0.04118068143725395,0.8000340461730957,2.079345941543579,0.0,0.0
1.0,move,0.1,0.25450974702835083,0.34090742468833923,0.9952716827392578,2.033681869506836,7.421663284301758,8.640998840332031,0.15747851133346558,0.02550981566309929,0.045026831328868866,0.7830365896224976,2.2071099281311035,0.0,0.0
1.02,move,0.1,0.22168588638305664,0.3078765571117401,0.669244647026062,1.3321936130523682,7.886044979095459,8.715585708618164,0.15904448926448822,0.028086436912417412,0.04709428921341896,0.9337180852890015,2.306450128555298,0.0,0.0
1.04,move,0.1,0.2059803605079651,0.2502703368663788,0.4800540506839752,0.8751702904701233,8.100637435913086,8.7398099899292,0.16084207594394684,0.029147297143936157,0.0475115068256855,1.0598788261413574,2.2540476322174072,0.0,0.0
1.06,move,0.1,0.19089825451374054,0.23132182657718658,0.3984100818634033,0.9353501200675964,8.05427360534668,8.704093933105469,0.16299349069595337,0.029184982180595398,0.04665832966566086,0.9888676404953003,2.057140588760376,0.0,0.0
1.08,move,0.1,0.17478924989700317,0.19469012320041656,0.3459731340408325,1.1643409729003906,7.921669006347656,8.768735885620117,0.16494864225387573,0.028590187430381775,0.04521193355321884,0.961727499961853,1.8265284299850464,0.0,0.0
1.1,move,0.1,0.1686117798089981,0.21882987022399902,0.44228458404541016,1.324389934539795,7.8703508377075195,8.980398178100586,0.16608107089996338,0.027629222720861435,0.04351724311709404,0.9357326626777649,2.099290609359741,0.0,0.0
1.12,move,0.1,0.1708441525697708,0.24435944855213165,0.6069480180740356,1.427648663520813,7.926259994506836,9.34790325164795,0.16643306612968445,0.02642350271344185,0.04130353778600693,0.8954423666000366,2.797045946121216,0.0,0.0
1.14,move,0.1,0.1811031699180603,0.2798171043395996,0.7852604389190674,1.5003275871276855,7.97760009765625,9.74450969696045,0.16617050766944885,0.02463911660015583,0.03857119008898735,0.8512662649154663,3.3627846240997314,0.0,0.0
1.16,move,0.1,0.2196607142686844,0.33377113938331604,0.9253523349761963,1.5193414688110352,7.929957866668701,9.922311782836914,0.1653459668159485,0.022071577608585358,0.0348416306078434,0.8091174364089966,3.6667723655700684,0.0,0.0
1.18,move,0.1,0.25809818506240845,0.3474641442298889,1.1150054931640625,1.5700933933258057,7.76807975769043,9.933662414550781,0.16365787386894226,0.01891496032476425,0.029894135892391205,0.8252161741256714,4.353308200836182,0.0,0.0
1.2,move,0.1,0.29550808668136597,0.40078282356262207,1.2883496284484863,1.694178819656372,7.546057224273682,9.851548194885254,0.16117525100708008,0.015147147700190544,0.02443629503250122,1.0081281661987305,5.67276668548584,0.0,0.0
1.22,move,0.1,0.33373409509658813,0.4457779824733734,1.4818713665008545,1.8934661149978638,7.220501899719238,9.72010326385498,0.15794402360916138,0.01128020603209734,0.018847454339265823,1.2668447494506836,6.934054851531982,0.0,0.0
1.24,move,0.1,0.2942216396331787,0.48082926869392395,1.3507094383239746,1.8841900825500488,6.585095405578613,9.06479263305664,0.15546287596225739,0.009682639501988888,0.019558144733309746,1.4563944339752197,7.895029544830322,0.0,0.0
1.26,move,0.1,0.2586582601070404,0.5113339424133301,1.2480080127716064,2.037163257598877,6.115478992462158,8.202857971191406,0.15368695557117462,0.009749621152877808,0.02182024158537388,1.7955256700515747,8.84307861328125,0.0,0.0
1.28,move,0.1,0.20584309101104736,0.35278892517089844,1.0224273204803467,1.3838082551956177,5.806945323944092,7.6576080322265625,0.1535041779279709,0.00994427315890789,0.02343197725713253,1.915940523147583,9.287900924682617,0.0,0.0
1.3,move,0.1,0.18528297543525696,0.3149595260620117,0.931198000907898,1.386272668838501,5.564272880554199,7.226593017578125,0.154089093208313,0.010318567976355553,0.024003682658076286,1.8902537822723389,8.46070384979248,0.0,0.0
1.32,move,0.1,0.1613459587097168,0.2301405370235443,0.7089682817459106,1.4396206140518188,5.4630022048950195,7.6642022132873535,0.15534347295761108,0.010774046182632446,0.02433164231479168,1.7576322555541992,6.689125061035156,0.0,0.0
1.34,move,0.1,0.1484658420085907,0.20205341279506683,0.5115174055099487,1.0884246826171875,5.588881492614746,7.807778835296631,0.156788632273674,0.011007208377122879,0.02467651292681694,1.518044114112854,5.019265174865723,0.0,0.0
1.36,move,0.1,0.1594703495502472,0.20732244849205017,0.543752908706665,1.1232022047042847,5.842696189880371,7.843968391418457,0.15790724754333496,0.011512051336467266,0.024319762364029884,1.2390782833099365,3.731461763381958,0.0,0.0
