trial,direction,fell,settled,settle_time_s,pre_stop_directed_speed_mps,final_linear_speed_mps,final_angular_speed_rps,final_tilt_deg,max_post_stop_tilt_deg,max_post_stop_drift_m
41,forward,False,True,0.6599999666213989,0.10347693413496017,0.003677849657833576,0.03251485526561737,10.584685325622559,10.586749076843262,0.035009827464818954
42,forward,False,True,1.4399999380111694,0.10667120665311813,0.0041724033653736115,0.030585728585720062,10.615522384643555,10.626527786254883,0.03294172137975693
43,forward,False,True,1.4399999380111694,0.1035846620798111,0.0041017173789441586,0.034244708716869354,10.647268295288086,10.654474258422852,0.037449467927217484
44,forward,False,True,1.4199999570846558,0.10460370033979416,0.004019828513264656,0.03836917504668236,10.612703323364258,10.623397827148438,0.03339066728949547
45,forward,False,True,1.7999999523162842,0.1081937849521637,0.004077903460711241,0.032732050865888596,10.593810081481934,10.594701766967773,0.0340094156563282
46,forward,False,True,1.2599999904632568,0.10677164793014526,0.0038291297387331724,0.035847630351781845,10.641924858093262,10.648377418518066,0.034653905779123306
47,forward,False,True,1.5,0.10469423979520798,0.003912293817847967,0.033907756209373474,10.627009391784668,10.628435134887695,0.037482693791389465
48,forward,False,True,1.2799999713897705,0.10661249607801437,0.005420873407274485,0.043270669877529144,10.625249862670898,10.635857582092285,0.036900218576192856
49,forward,False,True,1.2200000286102295,0.10659481585025787,0.003695868421345949,0.030657809227705002,10.639225006103516,10.640815734863281,0.03440864384174347
50,forward,False,True,1.459999918937683,0.10670343041419983,0.004104953724890947,0.03840913251042366,10.620896339416504,10.659534454345703,0.035389289259910583
51,forward,False,True,1.4399999380111694,0.10181186348199844,0.0034098480828106403,0.030384551733732224,10.626194953918457,10.6428861618042,0.03687126561999321
52,forward,False,True,1.2200000286102295,0.10364402830600739,0.004158907104283571,0.03494406118988991,10.674571990966797,10.708901405334473,0.03409179672598839
53,forward,False,True,0.6599999666213989,0.10779037326574326,0.0048543368466198444,0.038297951221466064,10.580928802490234,10.58769702911377,0.03337834030389786
54,forward,False,True,1.399999976158142,0.10386805236339569,0.003976334352046251,0.04442703723907471,10.607845306396484,10.619933128356934,0.03767721727490425
55,forward,False,True,1.1200000047683716,0.10605982691049576,0.003954329062253237,0.037859465926885605,10.658906936645508,10.705004692077637,0.037877146154642105
56,forward,False,True,1.4800000190734863,0.11040166765451431,0.0037041152827441692,0.03299710899591446,10.605301856994629,10.609254837036133,0.033621810376644135
57,forward,False,True,1.4399999380111694,0.10743045806884766,0.0038559935055673122,0.035393908619880676,10.601720809936523,10.6084566116333,0.0342559814453125
58,forward,False,True,1.2599999904632568,0.10037358850240707,0.0035552976187318563,0.03720676526427269,10.6349515914917,10.653772354125977,0.03713848441839218
59,forward,False,True,1.5,0.10184653848409653,0.004144927021116018,0.0347258634865284,10.639780044555664,10.64301586151123,0.03850695863366127
60,forward,False,True,1.159999966621399,0.103791743516922,0.003810325637459755,0.035577043890953064,10.63200855255127,10.643108367919922,0.037610799074172974
