time_s,phase,command_abs_vx_mps,mean_linear_speed_mps,p95_linear_speed_mps,mean_angular_speed_rps,p95_angular_speed_rps,mean_tilt_deg,p95_tilt_deg,mean_height_m,settled_fraction,fall_fraction
2.48,stop,0.0,0.011278828606009483,0.022047149017453194,0.3231973946094513,0.4678383767604828,6.461259841918945,9.9876127243042,0.1475280523300171,0.0,0.0
2.5,stop,0.0,0.00979933887720108,0.019378870725631714,0.31947940587997437,0.46819332242012024,6.539555072784424,10.10647964477539,0.14750437438488007,0.0,0.0
2.52,stop,0.0,0.00904330238699913,0.0177907757461071,0.31457725167274475,0.4710542857646942,6.620431900024414,10.20934009552002,0.14747896790504456,0.0,0.0
2.54,stop,0.0,0.008286923170089722,0.016887560486793518,0.2948818802833557,0.414620578289032,6.6993207931518555,10.302370071411133,0.14745460450649261,0.0,0.0
2.56,stop,0.0,0.00918433628976345,0.019139496609568596,0.2968735098838806,0.4226904511451721,6.779671669006348,10.385279655456543,0.1474301815032959,0.0,0.0
2.58,stop,0.0,0.008697018958628178,0.01972770132124424,0.2770262658596039,0.43806299567222595,6.857409954071045,10.456873893737793,0.1474103033542633,0.0,0.0
2.6,stop,0.0,0.008980678394436836,0.018694622442126274,0.26431047916412354,0.4244023263454437,6.933602333068848,10.518994331359863,0.14739544689655304,0.0,0.0
2.62,stop,0.0,0.00919375754892826,0.018437733873724937,0.25978296995162964,0.4023807942867279,7.009804725646973,10.575706481933594,0.14738455414772034,0.0,0.0
2.64,stop,0.0,0.009858530014753342,0.02148069068789482,0.26008421182632446,0.44649919867515564,7.085691452026367,10.628310203552246,0.14738446474075317,0.0,0.0
2.66,stop,0.0,0.01018793135881424,0.02312963828444481,0.24938982725143433,0.4224701225757599,7.160280227661133,10.671592712402344,0.14739176630973816,0.0,0.0
2.68,stop,0.0,0.010221288539469242,0.02103368565440178,0.24353215098381042,0.4411191940307617,7.23372220993042,10.710918426513672,0.14740824699401855,0.0,0.0
2.7,stop,0.0,0.009831300005316734,0.020899156108498573,0.2244800329208374,0.4127655029296875,7.305142402648926,10.74563217163086,0.14743125438690186,0.0,0.0
2.72,stop,0.0,0.010011577978730202,0.022676728665828705,0.22314345836639404,0.40571048855781555,7.378242015838623,10.776080131530762,0.14746081829071045,0.0,0.0
2.74,stop,0.0,0.010314683429896832,0.021088240668177605,0.21950718760490417,0.42551854252815247,7.450185298919678,10.800274848937988,0.14749737083911896,0.0,0.0
2.76,stop,0.0,0.010207102634012699,0.022459009662270546,0.21575570106506348,0.43080705404281616,7.525550365447998,10.820084571838379,0.14753615856170654,0.0,0.0
2.78,stop,0.0,0.010629415512084961,0.023539386689662933,0.21536344289779663,0.4332801103591919,7.6054534912109375,10.83754825592041,0.14757981896400452,0.0,0.0
2.8,stop,0.0,0.010885409079492092,0.02467128448188305,0.21219977736473083,0.45448511838912964,7.685932159423828,10.851217269897461,0.1476290225982666,0.0,0.0
2.82,stop,0.0,0.010997112840414047,0.02500145323574543,0.21160252392292023,0.4740937650203705,7.765697956085205,10.864348411560059,0.1476820409297943,0.0,0.0
2.84,stop,0.0,0.010900571942329407,0.024675963446497917,0.21420514583587646,0.4886009395122528,7.846930027008057,10.876014709472656,0.14773669838905334,0.0,0.0
2.86,stop,0.0,0.010675374418497086,0.025618193671107292,0.2135046124458313,0.5186449289321899,7.929361343383789,10.887682914733887,0.14779508113861084,0.0,0.0
