time_s,phase,target_height_m,mean_height_m,command_vx_mps,mean_vx_mps,mean_linear_speed_mps,mean_abs_lateral_m,mean_abs_heading_deg,double_contact_fraction,mean_action_rms,mean_action_rate,fall_fraction
0.28,stand_1,0.143,0.14784455299377441,0.0,-0.08832857757806778,0.09486031532287598,0.011569837108254433,2.9821114540100098,1.0,0.9208186864852905,0.0372498482465744,0.0
0.3,stand_1,0.143,0.14815987646579742,0.0,-0.08071281015872955,0.08873601257801056,0.011101726442575455,3.1497182846069336,1.0,0.9487370252609253,0.03650432825088501,0.0
0.32,stand_1,0.143,0.14838917553424835,0.0,-0.07332399487495422,0.08229494839906693,0.010581186041235924,3.286133289337158,1.0,0.9742506742477417,0.03145996481180191,0.0
0.34,stand_1,0.143,0.1485527902841568,0.0,-0.06622117012739182,0.07553304731845856,0.010037852451205254,3.3885927200317383,0.9921875,0.9978103041648865,0.027535896748304367,0.0
0.36,stand_1,0.143,0.1486777663230896,0.0,-0.06142140179872513,0.07186070084571838,0.009499790146946907,3.46268892288208,0.9609375,1.0196470022201538,0.028322411701083183,0.0
0.38,stand_1,0.143,0.14878356456756592,0.0,-0.05565506964921951,0.06663105636835098,0.008994321338832378,3.493537425994873,0.9140625,1.0381715297698975,0.028392508625984192,0.0
0.4,stand_1,0.143,0.14886963367462158,0.0,-0.05088917165994644,0.06415671110153198,0.008503582328557968,3.470407724380493,0.8359375,1.0574012994766235,0.03119821846485138,0.0
0.42,stand_1,0.143,0.14904490113258362,0.0,-0.04524259641766548,0.06264067441225052,0.008117377758026123,3.364069700241089,0.7265625,1.0741143226623535,0.03757047280669212,0.0
0.44,stand_1,0.143,0.14917902648448944,0.0,-0.033109597861766815,0.05244436115026474,0.007840784266591072,3.208530902862549,0.65625,1.085271954536438,0.04986567795276642,0.0
0.46,stand_1,0.143,0.14927701652050018,0.0,-0.03380110114812851,0.05927346274256706,0.007504078559577465,3.0617387294769287,0.5859375,1.1058342456817627,0.05368606746196747,0.0
0.48,stand_1,0.143,0.14940568804740906,0.0,-0.023859627544879913,0.0543646477162838,0.007275361102074385,2.9482650756835938,0.5546875,1.1171541213989258,0.06395506113767624,0.0
0.5,stand_1,0.143,0.14952728152275085,0.0,-0.019037805497646332,0.04579788073897362,0.007108715828508139,2.8657283782958984,0.515625,1.1295456886291504,0.06864527612924576,0.0
0.52,stand_1,0.143,0.1494273543357849,0.0,-0.012558327987790108,0.04459231346845627,0.006848939694464207,2.8227601051330566,0.6015625,1.1414570808410645,0.07700812816619873,0.0
0.54,stand_1,0.143,0.14929237961769104,0.0,-0.007016194052994251,0.038412634283304214,0.006475323811173439,2.7981879711151123,0.75,1.1584964990615845,0.06727151572704315,0.0
0.56,stand_1,0.143,0.14911797642707825,0.0,-0.01071684155613184,0.03423985466361046,0.006081205792725086,2.7795639038085938,0.8671875,1.1688152551651,0.05782561004161835,0.0
0.58,stand_1,0.143,0.14890822768211365,0.0,-0.011463850736618042,0.033552393317222595,0.00569061329588294,2.770749092102051,0.921875,1.175337553024292,0.048259396106004715,0.0
0.6,stand_1,0.143,0.14870059490203857,0.0,-0.011395161040127277,0.03182823583483696,0.005272038746625185,2.7550296783447266,0.9765625,1.187667965888977,0.037413351237773895,0.0
