time_s,phase,target_height_m,mean_height_m,command_vx_mps,mean_vx_mps,mean_linear_speed_mps,mean_abs_lateral_m,mean_abs_heading_deg,double_contact_fraction,mean_action_rms,mean_action_rate,fall_fraction
1.0,stand_1,0.143,0.1435076892375946,0.0,-0.0026937942020595074,0.005417985375970602,0.01632801443338394,5.553570747375488,1.0,0.6998287439346313,0.001861824537627399,0.0
1.02,stand_1,0.143,0.14350634813308716,0.0,-0.0024706595577299595,0.005207933951169252,0.01633521169424057,5.572004318237305,1.0,0.6993840336799622,0.0017805094830691814,0.0
1.04,stand_1,0.143,0.14350482821464539,0.0,-0.0023539806716144085,0.005134749226272106,0.016341380774974823,5.589966773986816,1.0,0.698947548866272,0.0017054991330951452,0.0
1.06,stand_1,0.143,0.14350301027297974,0.0,-0.0022534942254424095,0.0050324611365795135,0.01634639874100685,5.6075921058654785,1.0,0.6985273957252502,0.0016588408034294844,0.0
1.08,stand_1,0.143,0.14350134134292603,0.0,-0.002091272035613656,0.005074808374047279,0.016350852325558662,5.624650955200195,1.0,0.6981146335601807,0.001678264350630343,0.0
1.1,stand_1,0.143,0.14349937438964844,0.0,-0.001990349031984806,0.005029083229601383,0.016353439539670944,5.641173839569092,1.0,0.6977493166923523,0.0015808222815394402,0.0
1.12,stand_1,0.143,0.14349716901779175,0.0,-0.001910411985591054,0.005041149910539389,0.016355231404304504,5.657143592834473,1.0,0.6973574757575989,0.0015251985751092434,0.0
1.14,stand_1,0.143,0.14349451661109924,0.0,-0.0018211365677416325,0.004996947944164276,0.016356412321329117,5.672708988189697,1.0,0.6970533132553101,0.0014066589064896107,0.0
1.16,stand_1,0.143,0.14349143207073212,0.0,-0.0017098116222769022,0.005036554299294949,0.016356971114873886,5.687556266784668,1.0,0.6967629790306091,0.0014132122742012143,0.0
1.18,stand_1,0.143,0.14348812401294708,0.0,-0.0017096427036449313,0.004955334588885307,0.016355901956558228,5.702021598815918,1.0,0.6964707374572754,0.0013759855646640062,0.0
1.2,stand_1,0.143,0.14348408579826355,0.0,-0.001632465748116374,0.0049809655174613,0.016354629769921303,5.715999603271484,1.0,0.6962406635284424,0.0012584113283082843,0.0
1.22,stand_1,0.143,0.1434800624847412,0.0,-0.0015659400960430503,0.0049540093168616295,0.016353704035282135,5.729506969451904,1.0,0.696017861366272,0.0012229724088683724,0.0
1.24,stand_1,0.143,0.14347609877586365,0.0,-0.0016007928643375635,0.004993898794054985,0.016352996230125427,5.742529392242432,1.0,0.6958426833152771,0.0012404564768075943,0.0
1.26,stand_1,0.143,0.1434721052646637,0.0,-0.001582594821229577,0.004977661184966564,0.016351480036973953,5.755301475524902,1.0,0.6956447958946228,0.0012659267522394657,0.0
1.28,stand_1,0.143,0.14346817135810852,0.0,-0.0014976091915741563,0.0048880004324018955,0.016351012513041496,5.767361164093018,1.0,0.6954694986343384,0.0012382329441606998,0.0
1.3,stand_1,0.143,0.14346468448638916,0.0,-0.0014714092249050736,0.004939955659210682,0.01635066419839859,5.779021739959717,1.0,0.6953227519989014,0.0012037437409162521,0.0
1.32,stand_1,0.143,0.14346148073673248,0.0,-0.0014678179286420345,0.004817536100745201,0.016351083293557167,5.789853096008301,1.0,0.6951606273651123,0.0011309486581012607,0.0
1.34,stand_1,0.143,0.14345894753932953,0.0,-0.0014786568935960531,0.00489277858287096,0.016351385042071342,5.800014495849609,1.0,0.6950411200523376,0.0011971137719228864,0.0
1.36,stand_1,0.143,0.14345642924308777,0.0,-0.001429469441063702,0.0048995655961334705,0.016352109611034393,5.80942964553833,1.0,0.6949045658111572,0.0012762253172695637,0.0
1.38,stand_1,0.143,0.14345404505729675,0.0,-0.0014769420959055424,0.004882778972387314,0.016353316605091095,5.818130016326904,1.0,0.6947997808456421,0.0011336961761116982,0.0
1.4,stand_1,0.143,0.14345209300518036,0.0,-0.0015037065604701638,0.0049781231209635735,0.016354287043213844,5.826416015625,1.0,0.694690465927124,0.0011515532387420535,0.0
1.42,stand_1,0.143,0.1434500813484192,0.0,-0.0014376395847648382,0.004856723360717297,0.016355115920305252,5.834138870239258,1.0,0.6945947408676147,0.0012240649666637182,0.0
1.44,stand_1,0.143,0.14344850182533264,0.0,-0.0015447817277163267,0.00506484042853117,0.01635580137372017,5.841421127319336,1.0,0.6944935321807861,0.001273727510124445,0.0
1.46,stand_1,0.143,0.1434468924999237,0.0,-0.0013670928310602903,0.004981376230716705,0.016356147825717926,5.8480682373046875,1.0,0.694419264793396,0.0011259638704359531,0.0
1.48,stand_1,0.143,0.1434454321861267,0.0,-0.001497779623605311,0.004998199641704559,0.01635649800300598,5.854503631591797,1.0,0.6943536996841431,0.0010524715762585402,0.0
1.5,stand_1,0.143,0.1434440016746521,0.0,-0.0014890936436131597,0.004970753099769354,0.01635637879371643,5.860480308532715,1.0,0.6942369341850281,0.001098984619602561,0.0
1.52,stand_1,0.143,0.14344292879104614,0.0,-0.0014418858336284757,0.004884899593889713,0.016356244683265686,5.866295337677002,1.0,0.6942050457000732,0.0011178882559761405,0.0
1.54,stand_1,0.143,0.14344188570976257,0.0,-0.0014431055169552565,0.004920753184705973,0.016356300562620163,5.871772289276123,1.0,0.6941565871238708,0.001128768315538764,0.0
1.56,stand_1,0.143,0.14344163239002228,0.0,-0.0014792042784392834,0.0050422935746610165,0.016356132924556732,5.876897811889648,1.0,0.6940681338310242,0.001131849130615592,0.0
1.58,stand_1,0.143,0.14344115555286407,0.0,-0.0014513900969177485,0.005024862941354513,0.01635565608739853,5.882077217102051,1.0,0.6939632296562195,0.0011025966377928853,0.0
1.6,stand_1,0.143,0.143440842628479,0.0,-0.0014304321957752109,0.004988397937268019,0.016354821622371674,5.887039661407471,1.0,0.6938923597335815,0.0012105352943763137,0.0
1.62,stand_1,0.143,0.1434406042098999,0.0,-0.0013747450429946184,0.005065540783107281,0.016354748979210854,5.891745567321777,1.0,0.693831741809845,0.001079609734006226,0.0
1.64,stand_1,0.143,0.14344055950641632,0.0,-0.0014206147752702236,0.005037257913500071,0.016354214400053024,5.896207809448242,1.0,0.6937993764877319,0.0010218750685453415,0.0
1.66,stand_1,0.143,0.14344072341918945,0.0,-0.0014038076624274254,0.005090127699077129,0.016353577375411987,5.900589466094971,1.0,0.6937007308006287,0.0010408922098577023,0.0
1.68,stand_1,0.143,0.14344096183776855,0.0,-0.0013351242523640394,0.00504154060035944,0.0163533017039299,5.904819965362549,1.0,0.6936631202697754,0.0011213663965463638,0.0
1.7,stand_1,0.143,0.14344149827957153,0.0,-0.0013985157711431384,0.00505022332072258,0.016353188082575798,5.909038543701172,1.0,0.6935985088348389,0.0010648356983438134,0.0
1.72,stand_1,0.143,0.1434420645236969,0.0,-0.0013927347026765347,0.005130341742187738,0.016352735459804535,5.913144588470459,1.0,0.6935288906097412,0.0011067372979596257,0.0
1.74,stand_1,0.143,0.1434425413608551,0.0,-0.001376285101287067,0.005065840668976307,0.016351819038391113,5.917081832885742,1.0,0.6934919357299805,0.001079021254554391,0.0
1.76,stand_1,0.143,0.14344319701194763,0.0,-0.001301195239648223,0.005059845745563507,0.016351472586393356,5.92105770111084,1.0,0.6934279203414917,0.0011272908886894584,0.0
1.78,stand_1,0.143,0.14344385266304016,0.0,-0.0014192218659445643,0.005109598860144615,0.016351396217942238,5.924734115600586,1.0,0.6934043169021606,0.0010745213367044926,0.0
1.8,stand_1,0.143,0.14344486594200134,0.0,-0.001344537129625678,0.005099587142467499,0.016350682824850082,5.928385257720947,1.0,0.6933406591415405,0.0010905032977461815,0.0
1.82,stand_1,0.143,0.14344564080238342,0.0,-0.0013364760670810938,0.005013148300349712,0.016350429505109787,5.931891441345215,1.0,0.6933063268661499,0.0011385080870240927,0.0
1.84,stand_1,0.143,0.14344632625579834,0.0,-0.0013328935019671917,0.004995266441255808,0.016350075602531433,5.935324668884277,1.0,0.6932456493377686,0.0010700708953663707,0.0
1.86,stand_1,0.143,0.14344720542430878,0.0,-0.0012203878723084927,0.005002161487936974,0.016350261867046356,5.938472270965576,1.0,0.6932142972946167,0.0010876529850065708,0.0
1.88,stand_1,0.143,0.1434478759765625,0.0,-0.0012625569943338633,0.005007589235901833,0.016349734738469124,5.941712379455566,1.0,0.693193793296814,0.001033116364851594,0.0
1.9,stand_1,0.143,0.143448144197464,0.0,-0.0012793273199349642,0.005008749198168516,0.016349060460925102,5.944838523864746,1.0,0.6931315064430237,0.0009887437336146832,0.0
1.92,stand_1,0.143,0.14344899356365204,0.0,-0.001309388317167759,0.005094768945127726,0.016348887234926224,5.947850704193115,1.0,0.6931694746017456,0.0010088376002386212,0.0
1.94,stand_1,0.143,0.1434498280286789,0.0,-0.001234139665029943,0.005027733743190765,0.01634872332215309,5.950693607330322,1.0,0.6931324601173401,0.001097224885597825,0.0
1.96,stand_1,0.143,0.14345011115074158,0.0,-0.001175598707050085,0.004929654765874147,0.016348635777831078,5.953484535217285,1.0,0.6931048631668091,0.001045385841280222,0.0
1.98,stand_1,0.143,0.14345063269138336,0.0,-0.0011744970688596368,0.005044995807111263,0.01634850725531578,5.956306457519531,1.0,0.6930668354034424,0.0010149331064894795,0.0
2.0,stand_1,0.143,0.14345082640647888,0.0,-0.00115029769949615,0.004974696785211563,0.01634826883673668,5.958965301513672,1.0,0.693056046962738,0.0010388210648670793,0.0
2.02,forward,0.143,0.1434149444103241,0.08,0.014776516705751419,0.02441662922501564,0.016223926097154617,5.693769454956055,1.0,0.670874297618866,0.15768851339817047,0.0
2.04,forward,0.143,0.14314241707324982,0.08,0.031514279544353485,0.05554913729429245,0.015544474124908447,5.145448207855225,0.875,0.5974550247192383,0.12858042120933533,0.0
2.06,forward,0.143,0.14253515005111694,0.08,0.04338070750236511,0.09232360124588013,0.014493944123387337,4.466310501098633,0.2890625,0.4942901134490967,0.1295207440853119,0.0
2.08,forward,0.143,0.14148449897766113,0.08,0.05474308878183365,0.13404172658920288,0.01238219439983368,3.4736104011535645,0.5546875,0.37724682688713074,0.18394772708415985,0.0
2.1,forward,0.143,0.1400233805179596,0.08,0.05561409890651703,0.17984521389007568,0.009485699236392975,2.4715566635131836,1.0,0.3249322175979614,0.16750088334083557,0.0
2.12,forward,0.143,0.13821625709533691,0.08,0.06082969158887863,0.2336624413728714,0.005572097841650248,1.603471279144287,1.0,0.30954310297966003,0.13448528945446014,0.0
2.14,forward,0.143,0.1362209916114807,0.08,0.0633908212184906,0.25350281596183777,0.0019483729265630245,1.006675362586975,1.0,0.32433992624282837,0.10091793537139893,0.0
