time_s,mean_ball_progress_m,mean_ball_speed_mps,mean_robot_ball_distance_m,mean_closest_robot_ball_distance_m,success_fraction,fall_fraction
4.3,0.0,0.0,0.20040182769298553,0.19467411935329437,0.0625,0.015625
4.32,0.0,0.0,0.19805438816547394,0.19265158474445343,0.0625,0.015625
4.34,0.0,0.0,0.19577661156654358,0.19055601954460144,0.0625,0.015625
4.36,0.0,0.0,0.1944272369146347,0.18907776474952698,0.0625,0.015625
4.38,0.0,0.0,0.1940174102783203,0.18842138350009918,0.0625,0.015625
4.4,0.0,0.0,0.19448424875736237,0.1882801651954651,0.0625,0.015625
4.42,0.0,0.0,0.1958571821451187,0.1882341057062149,0.0625,0.015625
4.44,0.0,0.0,0.1979627162218094,0.18820545077323914,0.0625,0.015625
4.46,0.0,0.0,0.19998878240585327,0.18818828463554382,0.0625,0.015625
4.48,0.0,0.0,0.20100778341293335,0.1881638914346695,0.0625,0.015625
4.5,0.0,0.0,0.2009923905134201,0.18812695145606995,0.0625,0.015625
4.52,0.0,0.0,0.19993436336517334,0.1880362182855606,0.0625,0.015625
4.54,0.0,0.0,0.20116402208805084,0.18772032856941223,0.078125,0.015625
4.56,0.0,0.0,0.1977647840976715,0.18814130127429962,0.078125,0.015625
4.58,0.0,0.0,0.1987232118844986,0.1870267242193222,0.09375,0.015625
4.6,0.0,0.0,0.19871102273464203,0.1869409680366516,0.109375,0.015625
4.62,0.0,0.0,0.19819775223731995,0.1869317591190338,0.125,0.015625
4.64,0.0,0.0,0.19456012547016144,0.18643520772457123,0.125,0.015625
4.66,0.0,0.0,0.19239377975463867,0.1846538782119751,0.125,0.015625
4.68,0.0,0.0,0.19055087864398956,0.18309572339057922,0.125,0.015625
4.7,0.0,0.0,0.18927544355392456,0.18201251327991486,0.125,0.015625
4.72,0.0,0.0,0.19173826277256012,0.18133513629436493,0.140625,0.015625
4.74,0.0,0.0,0.18946707248687744,0.18233664333820343,0.140625,0.015625
4.76,0.0,0.0,0.18941596150398254,0.18211530148983002,0.140625,0.015625
4.78,0.0,0.0,0.18942409753799438,0.18187548220157623,0.140625,0.015625
4.8,0.0,0.0,0.19209234416484833,0.18151767551898956,0.15625,0.015625
4.82,0.0,0.0,0.18971684575080872,0.18208111822605133,0.15625,0.015625
4.84,0.0,0.0,0.19123342633247375,0.1808462291955948,0.171875,0.015625
4.86,0.0,0.0,0.18742860853672028,0.18010313808918,0.171875,0.015625
4.88,0.0,0.0,0.18530778586864471,0.1781243234872818,0.171875,0.015625
4.9,0.0,0.0,0.18394149839878082,0.1767541915178299,0.171875,0.015625
4.92,0.0,0.0,0.18351013958454132,0.17605900764465332,0.171875,0.015625
4.94,0.0,0.0,0.18393194675445557,0.17587308585643768,0.171875,0.015625
4.96,0.0,0.0,0.1851317584514618,0.1758037656545639,0.171875,0.015625
4.98,0.0,0.0,0.18705511093139648,0.1757896989583969,0.171875,0.015625
5.0,0.0,0.0,0.18870943784713745,0.1757896989583969,0.171875,0.015625
5.02,0.0,0.0,0.1895836740732193,0.1757896989583969,0.171875,0.015625
5.04,0.0,0.0,0.18960131704807281,0.1757896989583969,0.171875,0.015625
5.06,0.0,0.0,0.1886170506477356,0.17572081089019775,0.171875,0.015625
5.08,0.0,0.0,0.18983474373817444,0.17527155578136444,0.1875,0.015625
5.1,0.0,0.0,0.19249743223190308,0.17529553174972534,0.21875,0.015625
5.12,0.0,0.0,0.1975695937871933,0.17630751430988312,0.265625,0.015625
5.14,0.0,0.0,0.19716843962669373,0.17870652675628662,0.296875,0.015625
5.16,0.0,0.0,0.19571058452129364,0.180033877491951,0.3125,0.015625
5.18,0.0,0.0,0.19519047439098358,0.17989712953567505,0.328125,0.015625
5.2,0.0,0.0,0.19496899843215942,0.17982050776481628,0.34375,0.015625
5.22,0.0,0.0,0.19147321581840515,0.18007954955101013,0.34375,0.015625
5.24,0.0,0.0,0.19024990499019623,0.17915873229503632,0.34375,0.015625
5.26,0.0,0.0,0.1935703307390213,0.17856000363826752,0.359375,0.015625
5.28,0.0,0.0,0.19508175551891327,0.18003728985786438,0.375,0.015625
5.3,0.0,0.0,0.19302524626255035,0.18164846301078796,0.375,0.015625
5.32,0.0,0.0,0.19722682237625122,0.18142791092395782,0.390625,0.015625
