trial,pose,initial_alignment,max_alignment,max_height_m,success,success_time_s
32,prone,0.9973698854446411,0.9973698854446411,0.1457943320274353,True,0.699999988079071
33,prone,0.9684092998504639,0.9923608303070068,0.1454828530550003,True,0.699999988079071
34,prone,0.9720604419708252,0.9920360445976257,0.1455826461315155,True,0.7199999690055847
35,prone,0.969853937625885,0.9928200840950012,0.1444372981786728,True,0.7199999690055847
36,prone,0.9959630370140076,0.9959630370140076,0.14684921503067017,True,0.699999988079071
37,supine,0.47167664766311646,0.564842164516449,0.09383755922317505,False,nan
38,supine,0.5215481519699097,0.9958775043487549,0.0942934975028038,False,nan
39,prone,0.9916722774505615,0.9937582015991211,0.14447583258152008,True,0.6200000047683716
40,supine,0.4818786084651947,0.4818786084651947,0.09371263533830643,False,nan
41,supine,0.5114890336990356,0.5169416069984436,0.09312204271554947,False,nan
42,supine,0.5162333250045776,0.9916499853134155,0.09564276784658432,False,nan
43,supine,0.5661198496818542,0.9787479043006897,0.0941278338432312,False,nan
44,supine,0.4571666121482849,0.5112435817718506,0.0936317965388298,False,nan
45,prone,0.9894602298736572,0.9940686821937561,0.14633387327194214,True,0.7199999690055847
46,supine,0.45470815896987915,0.9860163927078247,0.09217580407857895,False,nan
47,prone,0.9834929704666138,0.9924502968788147,0.14482133090496063,True,0.7199999690055847
48,prone,0.9823693037033081,0.992822527885437,0.14487913250923157,True,0.7199999690055847
49,prone,0.9982767701148987,0.9982767701148987,0.14451438188552856,True,0.6200000047683716
50,prone,0.9978367686271667,0.9986698031425476,0.14683420956134796,True,0.699999988079071
51,prone,0.9891870617866516,0.9936673045158386,0.14513905346393585,True,0.7199999690055847
52,supine,0.46638911962509155,0.9947693943977356,0.09336896240711212,False,nan
53,supine,0.4625388979911804,0.9945995211601257,0.09272029250860214,False,nan
54,supine,0.48458099365234375,0.5057748556137085,0.09308108687400818,False,nan
55,prone,0.9848071336746216,0.9930703639984131,0.14536060392856598,True,0.699999988079071
56,prone,0.9879967570304871,0.9939984083175659,0.14728251099586487,True,0.7199999690055847
57,prone,0.9846242666244507,0.9930078983306885,0.1461845487356186,True,0.7199999690055847
58,prone,0.9782590866088867,0.9928445816040039,0.1444694548845291,True,0.7199999690055847
59,prone,0.9854341745376587,0.9923770427703857,0.14408086240291595,True,0.6200000047683716
60,supine,0.4804152548313141,0.4804152548313141,0.09308570623397827,False,nan
61,supine,0.5698020458221436,0.9902182817459106,0.09427137672901154,False,nan
62,supine,0.5103168487548828,0.9872530698776245,0.0940365120768547,False,nan
63,supine,0.5543103218078613,0.5543103218078613,0.09508448839187622,False,nan
64,supine,0.5743680000305176,0.9745345115661621,0.0959927886724472,False,nan
65,prone,0.9776737093925476,0.9919657707214355,0.14378094673156738,True,0.7199999690055847
66,prone,0.9927546977996826,0.9939732551574707,0.14613981544971466,True,0.7199999690055847
67,prone,0.9915175437927246,0.9940788745880127,0.1462567299604416,True,0.699999988079071
68,prone,0.9953249096870422,0.9956502914428711,0.14498858153820038,True,0.6200000047683716
69,supine,0.4196910262107849,0.9947850108146667,0.09300807118415833,False,nan
70,supine,0.4971487820148468,0.4971487820148468,0.09422851353883743,False,nan
71,prone,0.9876201748847961,0.9933549165725708,0.14575475454330444,True,0.699999988079071
72,prone,0.9977419376373291,0.9977419376373291,0.14441514015197754,True,0.6200000047683716
73,prone,0.9943392276763916,0.9943392276763916,0.14465592801570892,True,0.6200000047683716
74,supine,0.4460189640522003,0.995948851108551,0.09303990751504898,False,nan
75,prone,0.9728924632072449,0.9920996427536011,0.14437873661518097,True,0.7199999690055847
76,supine,0.41088688373565674,0.44023481011390686,0.09157752245664597,False,nan
77,supine,0.5013716220855713,0.9847190380096436,0.09428861737251282,False,nan
78,supine,0.4257265627384186,0.9730680584907532,0.09306614100933075,False,nan
79,prone,0.9965595006942749,0.9965595006942749,0.14645448327064514,True,0.699999988079071
80,prone,0.9778734445571899,0.9933739900588989,0.1462411731481552,True,0.7199999690055847
81,prone,0.973663866519928,0.9921567440032959,0.14410297572612762,True,0.6200000047683716
82,supine,0.5590171813964844,0.9726458787918091,0.10005857795476913,False,nan
83,prone,0.982818603515625,0.993625283241272,0.14592935144901276,True,0.6599999666213989
84,prone,0.9846263527870178,0.9930818676948547,0.14470280706882477,True,0.7199999690055847
85,prone,0.9943995475769043,0.9943995475769043,0.14448252320289612,True,0.6200000047683716
86,prone,0.9906811118125916,0.9962440729141235,0.14555300772190094,True,0.699999988079071
87,supine,0.5189527273178101,0.5189527273178101,0.09415639191865921,False,nan
88,prone,0.9868695735931396,0.9934165477752686,0.14577215909957886,True,0.699999988079071
89,prone,0.9778199791908264,0.9929093718528748,0.14447346329689026,True,0.5600000023841858
90,supine,0.4209236204624176,0.9732155799865723,0.09205087274312973,False,nan
91,prone,0.9769359827041626,0.9919547438621521,0.14531274139881134,True,0.699999988079071
92,prone,0.9917204976081848,0.9937349557876587,0.14548581838607788,True,0.699999988079071
93,supine,0.5638065934181213,0.9887827634811401,0.09405104070901871,False,nan
94,prone,0.982084333896637,0.9929530620574951,0.14499901235103607,True,0.6200000047683716
95,prone,0.973522424697876,0.9929838180541992,0.14571094512939453,True,0.699999988079071
96,supine,0.5162621140480042,0.5162621140480042,0.09455651044845581,False,nan
97,prone,0.9925020933151245,0.9948079586029053,0.1485508233308792,True,0.7199999690055847
98,supine,0.48094964027404785,0.48094964027404785,0.09398345649242401,False,nan
99,prone,0.9677672982215881,0.9926093220710754,0.14587338268756866,True,0.699999988079071
100,prone,0.9744427800178528,0.9921044111251831,0.14379458129405975,True,0.6200000047683716
101,supine,0.5732855796813965,0.9954137802124023,0.09489209949970245,False,nan
102,prone,0.9905422925949097,0.9940187931060791,0.14621002972126007,True,0.699999988079071
103,prone,0.9906277060508728,0.9932484030723572,0.1448436975479126,True,0.6200000047683716
104,prone,0.9967820048332214,0.9967820048332214,0.14615587890148163,True,0.699999988079071
105,supine,0.4929097890853882,0.9868583679199219,0.09415596723556519,False,nan
106,prone,0.9980590343475342,0.9980590343475342,0.1455773264169693,True,0.6200000047683716
107,supine,0.49838513135910034,0.49838513135910034,0.09296220541000366,False,nan
108,supine,0.534618079662323,0.5736953020095825,0.09392786026000977,False,nan
109,supine,0.46729037165641785,0.9834580421447754,0.09191235899925232,False,nan
110,prone,0.9938746690750122,0.9941920042037964,0.14635978639125824,True,0.699999988079071
111,supine,0.4520345628261566,0.4520345628261566,0.09213726222515106,False,nan
112,prone,0.9917739629745483,0.9933657050132751,0.14484187960624695,True,0.6200000047683716
113,supine,0.5781102776527405,0.5781102776527405,0.09506160020828247,False,nan
114,prone,0.9800183773040771,0.9926170110702515,0.14478453993797302,True,0.6200000047683716
115,supine,0.5599589943885803,0.5599589943885803,0.09548503160476685,False,nan
116,supine,0.5055446624755859,0.5465571284294128,0.0940704420208931,False,nan
117,prone,0.9703102111816406,0.995085597038269,0.1437627673149109,True,0.6200000047683716
118,prone,0.9834226369857788,0.9956722259521484,0.1439574956893921,True,0.6200000047683716
119,supine,0.5480741262435913,0.9898940324783325,0.0937187522649765,False,nan
120,prone,0.9967845678329468,0.9967845678329468,0.14424645900726318,True,0.6200000047683716
121,prone,0.9919863343238831,0.9938138723373413,0.14601904153823853,True,0.699999988079071
122,supine,0.5315099954605103,0.5331715941429138,0.09677119553089142,False,nan
123,supine,0.5222775936126709,0.5222775936126709,0.0936972126364708,False,nan
124,supine,0.49845609068870544,0.9760857224464417,0.09388040751218796,False,nan
125,prone,0.9690711498260498,0.9921249747276306,0.14523164927959442,True,0.7199999690055847
126,prone,0.9723774194717407,0.9928687810897827,0.14461670815944672,True,0.7199999690055847
127,prone,0.9743390083312988,0.9926126003265381,0.14452344179153442,True,0.6200000047683716
