time_s,mean_ball_progress_m,mean_ball_speed_mps,mean_robot_ball_distance_m,success_fraction,fall_fraction
1.1,0.11585093289613724,0.10698726773262024,0.14057132601737976,0.203125,0.015625
1.12,0.11798686534166336,0.10668027400970459,0.14414334297180176,0.203125,0.015625
1.14,0.12011676281690598,0.09037576615810394,0.13856005668640137,0.265625,0.015625
1.16,0.11323201656341553,0.08975248783826828,0.14053238928318024,0.296875,0.015625
1.18,0.11018675565719604,0.09515609592199326,0.14727354049682617,0.296875,0.015625
1.2,0.1120808944106102,0.0945378765463829,0.1504317820072174,0.296875,0.015625
1.22,0.11396829038858414,0.09426650404930115,0.15339910984039307,0.296875,0.015625
1.24,0.11586601287126541,0.09173571318387985,0.15235793590545654,0.3125,0.015625
1.26,0.11529645323753357,0.08899485319852829,0.15275289118289948,0.328125,0.015625
1.28,0.11457923799753189,0.09085232764482498,0.1566164642572403,0.328125,0.015625
1.3,0.11639317870140076,0.09059297293424606,0.15799057483673096,0.328125,0.015625
1.32,0.11820163577795029,0.09033418446779251,0.1589253842830658,0.328125,0.015625
1.34,0.12000523507595062,0.08648525923490524,0.1553589552640915,0.34375,0.015625
1.36,0.11926570534706116,0.09070541709661484,0.15803387761116028,0.34375,0.015625
1.38,0.12107653170824051,0.09045710414648056,0.15777498483657837,0.34375,0.015625
1.4,0.12286686897277832,0.08919879794120789,0.1574576199054718,0.34375,0.015625
1.42,0.1246476098895073,0.08895950019359589,0.15729989111423492,0.34375,0.015625
1.44,0.12645955383777618,0.09083565324544907,0.1580788791179657,0.34375,0.015625
1.46,0.1282731592655182,0.09058154374361038,0.15940073132514954,0.34375,0.015625
1.48,0.13007619976997375,0.09004019945859909,0.1610202193260193,0.34375,0.015625
1.5,0.1318739652633667,0.0897824689745903,0.1627369374036789,0.34375,0.015625
1.52,0.1336665004491806,0.08952520042657852,0.1644611805677414,0.34375,0.015625
1.54,0.13545385003089905,0.08926885575056076,0.16635824739933014,0.34375,0.015625
1.56,0.13723596930503845,0.08901381492614746,0.16828398406505585,0.34375,0.015625
1.58,0.13901308178901672,0.08875927329063416,0.17014412581920624,0.34375,0.015625
1.6,0.1407850682735443,0.08850529044866562,0.17213790118694305,0.34375,0.015625
1.62,0.14255204796791077,0.08825236558914185,0.17461155354976654,0.34375,0.015625
1.64,0.14430919289588928,0.08659068495035172,0.1777060329914093,0.34375,0.015625
1.66,0.14603355526924133,0.08591990172863007,0.1810692399740219,0.34375,0.015625
1.68,0.14774809777736664,0.08266880363225937,0.1812543123960495,0.359375,0.015625
1.7,0.14761820435523987,0.08449285477399826,0.18763437867164612,0.359375,0.015625
1.72,0.14930525422096252,0.08130239695310593,0.18748457729816437,0.375,0.015625
1.74,0.1491444706916809,0.0831485465168953,0.1943509727716446,0.375,0.015625
1.76,0.15080463886260986,0.08291050046682358,0.19757652282714844,0.375,0.015625
1.78,0.15246014297008514,0.08267360925674438,0.2001742571592331,0.375,0.015625
1.8,0.15411080420017242,0.08243740350008011,0.20215004682540894,0.375,0.015625
1.82,0.15575677156448364,0.08220230787992477,0.20344173908233643,0.375,0.015625
1.84,0.1573978215456009,0.08196717500686646,0.20417526364326477,0.375,0.015625
1.86,0.1590341180562973,0.08173249661922455,0.2044854760169983,0.375,0.015625
1.88,0.16066594421863556,0.08149922639131546,0.20454023778438568,0.375,0.015625
1.9,0.1622929722070694,0.08126629143953323,0.20436348021030426,0.375,0.015625
1.92,0.16391541063785553,0.08103393763303757,0.204080730676651,0.375,0.015625
1.94,0.16553327441215515,0.08080249279737473,0.20392921566963196,0.375,0.015625
1.96,0.16714641451835632,0.08057130128145218,0.2041509747505188,0.375,0.015625
1.98,0.16878032684326172,0.08222059160470963,0.20516803860664368,0.375,0.015625
2.0,0.170423686504364,0.07711539417505264,0.1997663378715515,0.40625,0.015625
2.02,0.16931851208209991,0.07839968800544739,0.20495295524597168,0.421875,0.015625
2.04,0.1695110946893692,0.07501538842916489,0.20350238680839539,0.453125,0.015625
2.06,0.16811245679855347,0.07639657706022263,0.2104063779115677,0.46875,0.015625
2.08,0.16809417307376862,0.07848645746707916,0.21609105169773102,0.46875,0.015625
2.1,0.16966108977794647,0.07255207002162933,0.2101576179265976,0.5,0.015625
2.12,0.1678543984889984,0.07404017448425293,0.21639515459537506,0.515625,0.015625
2.14,0.16763179004192352,0.073238804936409,0.21850146353244781,0.53125,0.015625
2.16,0.16729874908924103,0.07554787397384644,0.22579863667488098,0.53125,0.015625
2.18,0.16880714893341064,0.07224858552217484,0.2245587259531021,0.546875,0.015625
2.2,0.16843686997890472,0.0714741125702858,0.22769887745380402,0.5625,0.015625
2.22,0.16798685491085052,0.07390975952148438,0.236472025513649,0.5625,0.015625
2.24,0.16946251690387726,0.07369814068078995,0.24047692120075226,0.5625,0.015625
2.26,0.17093397676944733,0.07348806411027908,0.24461647868156433,0.5625,0.015625
2.28,0.17240111529827118,0.06700367480516434,0.23793259263038635,0.59375,0.015625
2.3,0.16999568045139313,0.07215629518032074,0.254822313785553,0.59375,0.015625
2.32,0.1714361310005188,0.07195042073726654,0.2580258548259735,0.59375,0.015625
2.34,0.1728726476430893,0.06846870481967926,0.2541118860244751,0.609375,0.015625
2.36,0.17230503261089325,0.07111763209104538,0.26342660188674927,0.609375,0.015625
2.38,0.17372487485408783,0.07091362029314041,0.264148086309433,0.609375,0.015625
2.4,0.17514066398143768,0.06741643697023392,0.25849077105522156,0.625,0.015625
2.42,0.1745874136686325,0.07014686614274979,0.2658262848854065,0.625,0.015625
2.44,0.1759878247976303,0.0699462890625,0.26560312509536743,0.625,0.015625
2.46,0.1773844212293625,0.06638289988040924,0.2595548629760742,0.640625,0.015625
2.48,0.17682428658008575,0.06920186430215836,0.267729252576828,0.640625,0.015625
2.5,0.178205668926239,0.06900441646575928,0.2685006558895111,0.640625,0.015625
2.52,0.17958369851112366,0.06541343778371811,0.2652952969074249,0.65625,0.015625
2.54,0.17901675403118134,0.06833242624998093,0.2749507427215576,0.65625,0.015625
2.56,0.1803809106349945,0.0681372731924057,0.2766667902469635,0.65625,0.015625
2.58,0.1817411333322525,0.06794288009405136,0.27914711833000183,0.65625,0.015625
2.6,0.18309758603572845,0.061930906027555466,0.2789992094039917,0.671875,0.015625
2.62,0.18243394792079926,0.06484191864728928,0.2926734983921051,0.671875,0.015625
2.64,0.18372862040996552,0.0646570548415184,0.29535993933677673,0.671875,0.015625
2.66,0.18501941859722137,0.0644722580909729,0.2978544235229492,0.671875,0.015625
2.68,0.18630658090114594,0.06428821384906769,0.30018851161003113,0.671875,0.015625
2.7,0.18759027123451233,0.06410471349954605,0.3026030659675598,0.671875,0.015625
2.72,0.18887019157409668,0.06392164528369904,0.30534884333610535,0.671875,0.015625
2.74,0.19014643132686615,0.0637390986084938,0.3087911605834961,0.671875,0.015625
2.76,0.19141899049282074,0.06355758756399155,0.3127985894680023,0.671875,0.015625
2.78,0.1926880180835724,0.06337659806013107,0.3168719410896301,0.671875,0.015625
2.8,0.193953275680542,0.06319551169872284,0.3212105333805084,0.671875,0.015625
2.82,0.19521470367908478,0.06301485747098923,0.325610488653183,0.671875,0.015625
2.84,0.19647277891635895,0.06283451616764069,0.3294621407985687,0.671875,0.015625
2.86,0.19772718846797943,0.06265567988157272,0.33252111077308655,0.671875,0.015625
2.88,0.19897787272930145,0.06247719004750252,0.3349928557872772,0.671875,0.015625
2.9,0.20022526383399963,0.062298912554979324,0.33698365092277527,0.671875,0.015625
2.92,0.20146916806697845,0.06212150678038597,0.3384951055049896,0.671875,0.015625
2.94,0.2027093917131424,0.061943769454956055,0.33874112367630005,0.671875,0.015625
2.96,0.20394621789455414,0.06176767870783806,0.3384530246257782,0.671875,0.015625
2.98,0.2051798403263092,0.06159180402755737,0.3381451666355133,0.671875,0.015625
3.0,0.20640933513641357,0.05839192494750023,0.3308275640010834,0.6875,0.015625
3.02,0.20687586069107056,0.06129012629389763,0.34461840987205505,0.6875,0.015625
3.04,0.2080998420715332,0.06111595407128334,0.34525150060653687,0.6875,0.015625
3.06,0.2093198150396347,0.06094149500131607,0.34678611159324646,0.6875,0.015625
3.08,0.21053633093833923,0.0607672818005085,0.348611444234848,0.6875,0.015625
3.1,0.21174940466880798,0.06059445068240166,0.35059595108032227,0.6875,0.015625
3.12,0.21295906603336334,0.060421381145715714,0.35304373502731323,0.6875,0.015625
3.14,0.21416524052619934,0.0602492019534111,0.3558656871318817,0.6875,0.015625
3.16,0.21536822617053986,0.06007755547761917,0.35862720012664795,0.6875,0.015625
3.18,0.21656739711761475,0.05990609526634216,0.36105111241340637,0.6875,0.015625
3.2,0.21776355803012848,0.059735022485256195,0.3631322979927063,0.6875,0.015625
3.22,0.21895599365234375,0.05956481769680977,0.3648742139339447,0.6875,0.015625
3.24,0.22014540433883667,0.05939531326293945,0.3666788935661316,0.6875,0.015625
3.26,0.22133144736289978,0.05922626331448555,0.3690783977508545,0.6875,0.015625
3.28,0.22251395881175995,0.0590575635433197,0.372243195772171,0.6875,0.015625
3.3,0.2236931174993515,0.05888912454247475,0.37595120072364807,0.6875,0.015625
3.32,0.22486910223960876,0.058721743524074554,0.379954069852829,0.6875,0.015625
3.34,0.22604116797447205,0.05855390802025795,0.3840869069099426,0.6875,0.015625
