time_s,mean_progress_m,mean_directed_speed_mps,mean_cross_track_m,fall_fraction
1.18,0.14382785558700562,0.15843790769577026,0.027393223717808723,0.0390625
1.2,0.14712607860565186,0.14934414625167847,0.02619050443172455,0.0390625
1.22,0.150305837392807,0.14416860044002533,0.024686681106686592,0.0390625
1.24,0.15349242091178894,0.1416986733675003,0.02288295328617096,0.0390625
1.26,0.15660955011844635,0.13672307133674622,0.020892610773444176,0.0390625
1.28,0.15959331393241882,0.12913917005062103,0.019061589613556862,0.0390625
1.3,0.1625485122203827,0.12879520654678345,0.01795523799955845,0.0390625
1.32,0.16580873727798462,0.14544378221035004,0.01783803477883339,0.0390625
1.34,0.16964830458164215,0.1858820617198944,0.018249154090881348,0.0390625
1.36,0.17365925014019012,0.19015564024448395,0.018414992839097977,0.0390625
1.38,0.17746984958648682,0.1811000257730484,0.018628373742103577,0.0390625
1.4,0.18084785342216492,0.15964649617671967,0.019031643867492676,0.0390625
1.42,0.18399108946323395,0.15328474342823029,0.01947401836514473,0.0390625
1.44,0.187164306640625,0.16048356890678406,0.01985776238143444,0.0390625
1.46,0.19047363102436066,0.16176269948482513,0.020268602296710014,0.0390625
1.48,0.19370558857917786,0.16236717998981476,0.02079404518008232,0.0390625
1.5,0.19704337418079376,0.1699259877204895,0.02143906243145466,0.0390625
1.52,0.2005506455898285,0.1750054955482483,0.022115444764494896,0.0390625
1.54,0.20406654477119446,0.17619292438030243,0.022946247830986977,0.0390625
1.56,0.2074410319328308,0.16861489415168762,0.024194328114390373,0.0390625
1.58,0.21062418818473816,0.16887705028057098,0.026036052033305168,0.0390625
1.6,0.21400661766529083,0.16385364532470703,0.02678237482905388,0.0390625
1.62,0.21772649884223938,0.19025063514709473,0.027740871533751488,0.0390625
1.64,0.2214040607213974,0.17626787722110748,0.02861626446247101,0.0390625
1.66,0.22461922466754913,0.15351951122283936,0.02924378402531147,0.0390625
1.68,0.22765521705150604,0.15446783602237701,0.02937311679124832,0.0390625
1.7,0.23101982474327087,0.16913382709026337,0.02903812564909458,0.0390625
1.72,0.2344973087310791,0.16306516528129578,0.028388570994138718,0.0390625
1.74,0.23786216974258423,0.15327197313308716,0.027391238138079643,0.0390625
1.76,0.24109388887882233,0.1485656350851059,0.026069004088640213,0.0390625
1.78,0.24431705474853516,0.14406801760196686,0.024440404027700424,0.0390625
1.8,0.24748562276363373,0.13957281410694122,0.022872982546687126,0.0390625
1.82,0.25053656101226807,0.13220129907131195,0.021445753052830696,0.0390625
1.84,0.2535979449748993,0.13469059765338898,0.02066046930849552,0.0390625
1.86,0.2569759488105774,0.12992705404758453,0.02086535468697548,0.0390625
1.88,0.2608199417591095,0.19087955355644226,0.02156076580286026,0.0390625
1.9,0.2650674879550934,0.20383936166763306,0.021889636293053627,0.0390625
1.92,0.26896294951438904,0.17926065623760223,0.022130701690912247,0.0390625
1.94,0.2721833288669586,0.15168817341327667,0.022427424788475037,0.0390625
1.96,0.27522823214530945,0.15225571393966675,0.022865422070026398,0.0390625
1.98,0.27840039134025574,0.15974757075309753,0.023321930319070816,0.0390625
