time_s,mean_progress_m,mean_max_foot_clearance_m,success_fraction,fall_fraction
1.0,0.12004323303699493,0.05295536294579506,0.0,0.0
1.02,0.1237502247095108,0.05295536294579506,0.0,0.0
1.04,0.1275475025177002,0.05295536294579506,0.0,0.0
1.06,0.13166533410549164,0.05295536294579506,0.0,0.0
1.08,0.13611826300621033,0.05295536294579506,0.0,0.0
1.1,0.14056529104709625,0.05295536294579506,0.0,0.0
1.12,0.14460672438144684,0.05295536294579506,0.0,0.0
1.14,0.14804622530937195,0.05295536294579506,0.0,0.0
1.16,0.1510498821735382,0.05295536294579506,0.0,0.0
1.18,0.1538502424955368,0.05295536294579506,0.0,0.0
1.2,0.15634408593177795,0.05295536294579506,0.0,0.0
1.22,0.15843842923641205,0.05295536294579506,0.0,0.0
1.24,0.16013365983963013,0.05295536294579506,0.0,0.0
1.26,0.1612788885831833,0.05295536294579506,0.0,0.0
1.28,0.16177497804164886,0.05295536294579506,0.0,0.0
1.3,0.16211993992328644,0.05295536294579506,0.0,0.0
1.32,0.1636018604040146,0.05295536294579506,0.0,0.0
1.34,0.16636298596858978,0.05295536294579506,0.0,0.0
1.36,0.17006975412368774,0.05295536294579506,0.0,0.0
1.38,0.17419767379760742,0.05295536294579506,0.0,0.0
1.4,0.17819872498512268,0.05295536294579506,0.0,0.0
1.42,0.1819927990436554,0.05295536294579506,0.0,0.0
1.44,0.18592821061611176,0.05303550884127617,0.0,0.0
1.46,0.1901068538427353,0.053186025470495224,0.0,0.0
1.48,0.194133460521698,0.05322089418768883,0.0,0.0
1.5,0.19788603484630585,0.05322089418768883,0.0,0.0
1.52,0.20149432122707367,0.05322089418768883,0.0,0.0
1.54,0.205134779214859,0.05322089418768883,0.0,0.0
1.56,0.20896215736865997,0.05322089418768883,0.0,0.0
1.58,0.21286475658416748,0.05322089418768883,0.0,0.0
1.6,0.21717773377895355,0.05322089418768883,0.0,0.0
1.62,0.22172969579696655,0.05322089418768883,0.0,0.0
1.64,0.2261524796485901,0.05322089418768883,0.0,0.0
1.66,0.23007163405418396,0.05322089418768883,0.0,0.0
1.68,0.23337841033935547,0.05322089418768883,0.0,0.0
1.7,0.23629812896251678,0.05322089418768883,0.0,0.0
1.72,0.23896151781082153,0.05322089418768883,0.0,0.0
1.74,0.2412954419851303,0.05322089418768883,0.0,0.0
1.76,0.243289977312088,0.05322089418768883,0.0,0.0
1.78,0.24489974975585938,0.05322089418768883,0.0,0.0
1.8,0.24592123925685883,0.05322089418768883,0.0,0.0
1.82,0.24632935225963593,0.05322089418768883,0.0,0.0
1.84,0.24677100777626038,0.05322089418768883,0.0,0.0
1.86,0.2483605295419693,0.05322089418768883,0.0,0.0
1.88,0.2512047290802002,0.05322089418768883,0.0,0.0
1.9,0.2549537420272827,0.05322089418768883,0.0,0.0
1.92,0.25908562541007996,0.05322089418768883,0.0,0.0
1.94,0.2630620002746582,0.05322089418768883,0.0,0.0
1.96,0.2667675018310547,0.05322089418768883,0.0,0.0
1.98,0.27064287662506104,0.05322089418768883,0.0,0.0
2.0,0.27480411529541016,0.0532524399459362,0.0,0.0
2.02,0.27882957458496094,0.053282879292964935,0.0,0.0
2.04,0.2825313210487366,0.053282879292964935,0.0,0.0
2.06,0.28608429431915283,0.053282879292964935,0.0,0.0
2.08,0.2896973490715027,0.053282879292964935,0.0,0.0
2.1,0.29343944787979126,0.053282879292964935,0.0,0.0
2.12,0.297295480966568,0.053282879292964935,0.0,0.0
2.14,0.3015616834163666,0.053282879292964935,0.0,0.0
2.16,0.3061043620109558,0.053282879292964935,0.0,0.0
2.18,0.31047704815864563,0.053282879292964935,0.0,0.0
2.2,0.3143536150455475,0.053282879292964935,0.0,0.0
2.22,0.31761279702186584,0.053282879292964935,0.0,0.0
2.24,0.32056695222854614,0.053282879292964935,0.0,0.0
2.26,0.3232005834579468,0.053282879292964935,0.0,0.0
2.28,0.3254598081111908,0.053282879292964935,0.0,0.0
2.3,0.32741183042526245,0.053282879292964935,0.0,0.0
2.32,0.3289949595928192,0.053282879292964935,0.0,0.0
2.34,0.3300120234489441,0.053282879292964935,0.0,0.0
2.36,0.33049672842025757,0.053282879292964935,0.0,0.0
2.38,0.33097922801971436,0.053282879292964935,0.0,0.0
2.4,0.3325846493244171,0.053282879292964935,0.0,0.0
2.42,0.3354569375514984,0.053282879292964935,0.0,0.0
2.44,0.33921951055526733,0.053282879292964935,0.0,0.0
2.46,0.3432866930961609,0.053282879292964935,0.0,0.0
2.48,0.34720665216445923,0.053282879292964935,0.0,0.0
2.5,0.35093528032302856,0.053282879292964935,0.0,0.0
2.52,0.354897677898407,0.053282879292964935,0.0,0.0
2.54,0.35895389318466187,0.05333109200000763,0.0,0.0
2.56,0.36283689737319946,0.053361792117357254,0.0,0.0
2.58,0.36652621626853943,0.053361792117357254,0.0,0.0
2.6,0.3700559139251709,0.053361792117357254,0.0,0.0
2.62,0.37359368801116943,0.053361792117357254,0.0,0.0
2.64,0.3773190379142761,0.053361792117357254,0.0,0.0
2.66,0.3811149597167969,0.053361792117357254,0.0,0.0
2.68,0.38533538579940796,0.053361792117357254,0.0,0.0
2.7,0.38982802629470825,0.053361792117357254,0.0,0.0
2.72,0.3941887617111206,0.053361792117357254,0.0,0.0
2.74,0.3981051445007324,0.053361792117357254,0.0,0.0
2.76,0.40147972106933594,0.053361792117357254,0.0,0.0
2.78,0.40441587567329407,0.053361792117357254,0.0,0.0
2.8,0.4069642424583435,0.053361792117357254,0.0,0.0
2.82,0.40930211544036865,0.053361792117357254,0.0,0.0
2.84,0.4113706946372986,0.053361792117357254,0.0,0.0
