trial,initial_ball_x_m,max_ball_progress_m,max_ball_speed_mps,closest_robot_ball_distance_m,closest_foot_ball_distance_m,success,fell
41,15.029999732971191,0.8183116912841797,0.2166476994752884,0.052155885845422745,0.06561917811632156,False,False
42,15.029999732971191,0.15096759796142578,0.254019170999527,0.07933866232633591,0.06554771214723587,True,False
43,15.029999732971191,0.23479652404785156,0.11454873532056808,0.018564501777291298,0.07625243067741394,False,False
44,15.029999732971191,0.15340232849121094,0.24332474172115326,0.062015414237976074,0.07422040402889252,True,False
45,15.029999732971191,0.15352821350097656,0.24723830819129944,0.08204350620508194,0.06265747547149658,True,False
46,15.029999732971191,0.15428447723388672,0.29083073139190674,0.09734553098678589,0.06940935552120209,True,False
47,15.029999732971191,0.15414142608642578,0.26681241393089294,0.06440436840057373,0.07812007516622543,True,False
48,18.030000686645508,0.4305763244628906,0.11021411418914795,0.05045799911022186,0.0669393539428711,False,False
49,18.030000686645508,0.45376014709472656,0.11306587606668472,0.04886746406555176,0.020586395636200905,False,False
50,18.030000686645508,0.28214263916015625,0.07064951956272125,0.03540177643299103,0.05661569535732269,False,False
51,18.030000686645508,0.150665283203125,0.23194408416748047,0.05879756808280945,0.06945594400167465,True,False
52,18.030000686645508,0.15195274353027344,0.12470736354589462,0.0583580918610096,0.07788705825805664,True,False
53,18.030000686645508,0.05628776550292969,0.17862799763679504,0.002769680228084326,0.008268431760370731,False,False
54,18.030000686645508,0.15126800537109375,0.2149311751127243,0.08068272471427917,0.07211647927761078,True,False
55,18.030000686645508,0.23942947387695312,0.06035461276769638,0.03436554595828056,0.08158579468727112,False,False
56,21.030000686645508,0.2474956512451172,0.07976657897233963,0.02238762378692627,0.029907187446951866,False,False
57,21.030000686645508,0.4047107696533203,0.13117851316928864,0.030225738883018494,0.07668176293373108,False,False
58,21.030000686645508,0.4424114227294922,0.11056935042142868,0.04602434113621712,0.03785191848874092,False,False
59,21.030000686645508,0.15130615234375,0.20873288810253143,0.08363424241542816,0.0627899169921875,True,False
60,21.030000686645508,0.1512298583984375,0.12382028996944427,0.05662889406085014,0.07566926628351212,True,False
61,21.030000686645508,0.15116310119628906,0.10778719186782837,0.06061994656920433,0.07827373594045639,True,False
62,21.030000686645508,0.1506195068359375,0.11456678807735443,0.06391926109790802,0.0745011642575264,True,False
63,21.030000686645508,0.15022659301757812,0.09126340597867966,0.04589160904288292,0.07364156097173691,True,False
