time_s,mean_alignment,mean_height_m,success_fraction,active_fraction
2.4,-0.9599738121032715,-0.13467812538146973,0.5546875,0.4453125
2.42,-0.9599718451499939,-0.1346787065267563,0.5546875,0.4453125
2.44,-0.9599702954292297,-0.13467895984649658,0.5546875,0.4453125
2.46,-0.9599694013595581,-0.13467904925346375,0.5546875,0.4453125
2.48,-0.9599679112434387,-0.1346794068813324,0.5546875,0.4453125
2.5,-0.9599665403366089,-0.1346796751022339,0.5546875,0.4453125
2.52,-0.9599664211273193,-0.13467954099178314,0.5546875,0.4453125
2.54,-0.9599670767784119,-0.13467928767204285,0.5546875,0.4453125
2.56,-0.9599664211273193,-0.13467909395694733,0.5546875,0.4453125
2.58,-0.9599657654762268,-0.13467928767204285,0.5546875,0.4453125
2.6,-0.9599656462669373,-0.13467943668365479,0.5546875,0.4453125
2.62,-0.9599646329879761,-0.13467951118946075,0.5546875,0.4453125
2.64,-0.9599637985229492,-0.1346794068813324,0.5546875,0.4453125
2.66,-0.9599651098251343,-0.13467901945114136,0.5546875,0.4453125
2.68,-0.9599672555923462,-0.1346769481897354,0.5546875,0.4453125
2.7,-0.9599690437316895,-0.134675994515419,0.5546875,0.4453125
2.72,-0.9599686861038208,-0.13467605412006378,0.5546875,0.4453125
2.74,-0.9599687457084656,-0.13467593491077423,0.5546875,0.4453125
2.76,-0.9599695205688477,-0.13467435538768768,0.5546875,0.4453125
2.78,-0.9599685072898865,-0.13467343151569366,0.5546875,0.4453125
2.8,-0.9599707722663879,-0.13467295467853546,0.5546875,0.4453125
2.82,-0.9599707126617432,-0.13467289507389069,0.5546875,0.4453125
2.84,-0.9599726796150208,-0.134672611951828,0.5546875,0.4453125
2.86,-0.9599729180335999,-0.13467231392860413,0.5546875,0.4453125
2.88,-0.9599722027778625,-0.13467247784137726,0.5546875,0.4453125
2.9,-0.9599714279174805,-0.1346726417541504,0.5546875,0.4453125
2.92,-0.9599716663360596,-0.1346723735332489,0.5546875,0.4453125
2.94,-0.95997154712677,-0.13467232882976532,0.5546875,0.4453125
2.96,-0.9599695205688477,-0.13467270135879517,0.5546875,0.4453125
2.98,-0.9599637389183044,-0.13467417657375336,0.5546875,0.4453125
3.0,-0.9599602818489075,-0.1346752792596817,0.5546875,0.4453125
