trial,initial_ball_x_m,max_ball_progress_m,max_ball_speed_mps,closest_robot_ball_distance_m,closest_foot_ball_distance_m,success,fell
41,15.029999732971191,0.8183012008666992,0.2166476994752884,0.052155885845422745,0.06561917811632156,False,False
42,15.029999732971191,0.22426795959472656,0.254019170999527,0.07933866232633591,0.06677009165287018,True,False
43,15.029999732971191,0.23479461669921875,0.11454873532056808,0.018564501777291298,0.07562504708766937,False,False
44,15.029999732971191,0.22319316864013672,0.24332474172115326,0.06101234629750252,0.07422040402889252,True,False
45,15.029999732971191,0.22053909301757812,0.24723830819129944,0.06833989173173904,0.07257945835590363,True,False
46,15.029999732971191,0.22349262237548828,0.29083073139190674,0.06643487513065338,0.07331712543964386,True,False
47,15.029999732971191,0.22185611724853516,0.26681241393089294,0.08807079493999481,0.07007249444723129,True,False
48,18.030000686645508,0.4305763244628906,0.11021411418914795,0.05045799911022186,0.0669393539428711,False,False
49,18.030000686645508,0.22066879272460938,0.11306587606668472,0.04886746406555176,0.029888154938817024,True,False
50,18.030000686645508,0.28235626220703125,0.07064951956272125,0.03540177643299103,0.05818592384457588,False,False
51,18.030000686645508,0.2213001251220703,0.23194408416748047,0.05879756808280945,0.06945594400167465,True,False
52,18.030000686645508,0.2213001251220703,0.12470736354589462,0.06917711347341537,0.07739925384521484,True,False
53,18.030000686645508,0.08107376098632812,0.12128735333681107,0.0015829324256628752,0.027511892840266228,False,False
54,18.030000686645508,0.22144317626953125,0.2149311751127243,0.08914666622877121,0.07023297250270844,True,False
55,18.030000686645508,0.23942947387695312,0.06035461276769638,0.03436554595828056,0.08158579468727112,False,False
56,21.030000686645508,0.22089767456054688,0.07976657897233963,0.02238762378692627,0.042046740651130676,True,False
57,21.030000686645508,0.4047107696533203,0.13117851316928864,0.030225738883018494,0.07668176293373108,False,False
58,21.030000686645508,0.2201671600341797,0.11056935042142868,0.04602434113621712,0.053396500647068024,True,False
59,21.030000686645508,0.22298812866210938,0.20873288810253143,0.053712397813797,0.06949975341558456,True,False
60,21.030000686645508,0.22100830078125,0.12382028996944427,0.07049594074487686,0.0668892040848732,True,False
61,21.030000686645508,0.22019577026367188,0.10778719186782837,0.06061994656920433,0.0723826140165329,True,False
62,21.030000686645508,0.22021484375,0.11456678807735443,0.06171908974647522,0.0759851485490799,True,False
63,21.030000686645508,0.22086524963378906,0.09126340597867966,0.04589160904288292,0.0522802472114563,True,False
